study_hours,attendance,previous_grade,parental_support,extracurricular,sleep_hours,assignments_completed,age,year,performance,final_grade
6.3,93.5,55.7,4,3,8.4,48.3,15,2023,Medium,62.8
6.9,61.3,87.8,3,2,6.4,62.4,17,2023,Medium,69.7
6.6,79.1,100.0,2,3,5.6,94.9,19,2023,High,83.1
5.7,77.4,53.3,5,1,6.2,41.3,17,2023,Medium,54.3
7.0,65.0,71.2,3,1,5.7,76.5,17,2023,Low,59.3
6.6,92.3,61.6,3,2,6.3,72.4,16,2023,Medium,59.1
6.2,78.7,100.0,2,3,6.6,42.1,15,2023,Medium,66.7
6.4,78.1,75.9,4,1,5.9,100.0,19,2023,Medium,63.7
9.0,68.5,82.8,3,1,7.0,59.5,16,2023,High,69.7
3.0,74.8,86.9,3,2,5.6,87.9,16,2023,Low,58.8
5.2,65.7,70.1,5,1,6.9,69.6,17,2023,Medium,69.9
6.8,92.1,65.0,2,3,6.4,62.8,18,2023,Medium,64.3
2.0,94.5,92.3,3,2,6.9,73.8,16,2023,Medium,78.9
9.5,100.0,80.4,4,2,7.5,71.6,17,2023,High,73.2
6.6,86.1,54.5,4,4,6.5,74.6,16,2023,High,64.5
8.4,75.3,56.4,4,3,6.1,63.8,17,2023,High,66.9
8.8,73.4,61.8,5,1,6.2,59.7,16,2023,High,76.0
7.0,86.9,86.5,2,2,8.2,96.1,17,2023,High,71.7
0.4,82.8,91.6,5,2,8.5,78.1,15,2023,Medium,64.6
6.4,77.6,100.0,1,3,6.4,76.9,18,2023,Medium,74.9
6.5,76.3,56.7,3,3,6.8,62.0,17,2023,Low,54.4
3.3,96.4,70.2,2,2,5.0,100.0,19,2023,Medium,73.4
1.5,74.0,61.6,5,3,6.8,76.4,17,2023,Medium,63.4
7.2,98.9,65.1,3,2,5.3,43.9,16,2023,Low,59.1
2.9,82.5,82.9,3,3,6.4,83.0,17,2023,Medium,65.6
11.2,74.8,67.3,2,0,8.3,64.2,17,2023,Medium,65.5
6.7,69.0,89.1,2,1,5.2,94.4,16,2023,Medium,63.4
9.4,77.8,59.7,4,3,5.9,96.7,17,2023,High,66.5
6.1,87.0,79.9,1,1,5.9,94.6,16,2023,Medium,63.2
7.9,74.7,60.9,4,3,5.0,69.7,18,2023,Medium,67.6
6.1,91.9,38.6,4,3,8.0,76.0,19,2023,Medium,49.3
8.5,74.0,51.7,4,3,7.3,82.5,16,2023,High,69.4
0.9,78.3,70.0,4,3,9.2,94.1,18,2023,Low,62.3
8.2,62.0,98.7,3,2,5.8,59.3,15,2023,High,79.8
7.7,87.8,60.6,2,4,4.9,79.7,16,2023,Medium,67.1
5.6,76.3,65.3,4,2,8.1,100.0,17,2023,Medium,54.2
5.0,100.0,75.8,4,2,6.6,68.4,16,2023,High,73.6
5.3,89.9,58.4,3,2,6.4,77.5,17,2023,Medium,61.0
6.7,81.2,60.3,4,4,8.8,100.0,17,2023,High,68.3
9.0,97.2,69.2,3,1,7.2,73.7,15,2023,High,66.7
4.7,85.7,61.0,2,3,8.1,50.3,15,2023,Low,50.5
1.7,94.1,39.5,3,1,6.3,77.0,15,2023,Low,52.7
12.0,67.9,57.6,3,0,6.1,100.0,19,2023,High,68.6
7.7,86.5,77.8,3,5,6.6,97.0,17,2023,High,86.7
5.0,87.0,78.3,2,1,7.8,60.4,18,2023,Low,74.5
9.0,58.4,89.4,2,3,7.1,85.5,17,2023,High,67.4
8.3,100.0,88.1,5,2,7.6,74.8,16,2023,High,80.1
7.2,63.8,53.6,2,3,4.0,92.6,17,2023,Low,55.1
4.8,61.8,56.1,3,3,4.7,66.9,17,2023,Low,58.2
7.7,40.1,56.8,5,1,4.4,86.9,17,2023,Medium,66.3
8.7,86.6,65.6,4,2,6.5,100.0,16,2023,High,63.9
