study_hours,attendance,previous_grade,parental_support,extracurricular,sleep_hours,assignments_completed,age,year,performance,final_grade
3.3,60.1,72.6,5,4,4.0,94.5,16,2022,Medium,71.7
7.2,63.3,82.9,1,2,9.6,46.5,17,2022,Low,69.4
4.3,81.9,52.1,3,3,6.7,89.3,17,2022,Low,56.7
8.4,40.7,72.2,4,1,6.8,69.8,15,2022,Low,63.5
5.4,71.8,79.1,4,1,6.9,98.3,16,2022,Medium,61.5
3.4,99.7,92.7,4,1,7.5,44.9,19,2022,Medium,68.9
5.4,93.8,99.2,4,0,7.0,100.0,17,2022,High,80.4
5.0,72.9,69.1,2,4,6.8,62.0,16,2022,Low,57.7
8.5,73.9,86.2,3,2,8.6,100.0,16,2022,High,73.9
5.1,87.9,25.3,5,1,7.7,76.8,16,2022,Medium,58.9
5.3,93.1,92.8,5,3,5.8,63.3,17,2022,High,82.9
9.5,72.5,56.4,4,3,7.9,82.8,16,2022,High,77.2
7.3,76.7,64.1,4,1,7.6,96.5,15,2022,Medium,54.0
10.2,72.1,75.1,5,3,6.3,50.1,16,2022,High,73.3
9.1,61.4,65.5,3,3,8.0,90.6,17,2022,High,72.0
3.8,76.9,71.1,2,3,6.8,77.8,15,2022,Low,57.8
8.5,75.9,93.4,4,3,6.7,88.4,15,2022,High,74.3
9.8,62.4,61.9,5,1,6.7,78.2,15,2022,Medium,63.6
9.8,89.0,50.6,4,2,4.1,67.7,16,2022,High,76.8
8.5,86.8,97.0,4,3,6.4,58.0,16,2022,High,85.8
8.4,89.7,76.4,3,4,7.9,90.1,17,2022,High,79.2
5.2,69.2,98.8,2,1,7.0,90.0,17,2022,Medium,73.0
3.9,52.2,81.8,2,0,5.5,89.9,16,2022,Low,58.5
5.1,86.5,46.8,5,4,8.2,85.7,18,2022,Medium,58.1
1.8,70.7,78.3,3,2,6.6,95.0,17,2022,Low,67.7
9.4,67.5,52.3,1,2,5.5,100.0,15,2022,Low,61.3
5.3,62.4,68.1,5,2,9.6,44.2,16,2022,Medium,67.3
9.2,76.1,66.8,3,2,5.7,35.8,19,2022,High,67.7
2.9,100.0,42.1,4,2,8.1,100.0,19,2022,Low,45.3
8.7,72.9,55.0,3,2,6.1,53.9,16,2022,Medium,52.2
4.8,64.7,100.0,2,0,7.2,58.4,16,2022,Low,69.1
2.8,89.1,71.8,4,5,5.9,72.8,17,2022,High,76.0
10.1,82.4,65.2,5,4,5.5,48.2,17,2022,High,80.2
8.8,50.3,97.0,1,4,7.6,71.1,17,2022,Medium,69.1
6.5,89.3,61.7,4,4,7.5,60.9,17,2022,High,61.8
6.1,100.0,66.5,3,3,8.4,73.8,16,2022,Medium,70.4
7.1,43.6,83.9,3,1,7.0,83.0,15,2022,Medium,62.8
6.5,62.7,61.6,3,0,9.7,71.8,17,2022,Low,48.8
4.0,40.1,56.1,5,0,7.3,70.9,19,2022,Low,48.6
5.0,78.9,31.9,3,2,7.7,82.6,15,2022,Medium,49.2
10.9,93.9,53.0,3,2,5.4,96.8,18,2022,High,75.6
12.0,81.5,52.9,4,5,6.3,100.0,17,2022,High,79.4
9.9,99.5,70.5,1,2,7.6,74.1,16,2022,High,66.5
7.2,91.6,58.2,2,2,6.9,100.0,18,2022,Medium,67.0
5.2,100.0,100.0,1,3,7.2,93.8,17,2022,High,78.4
4.0,96.2,51.1,4,1,6.0,55.8,17,2022,Low,61.8
4.2,74.4,90.4,3,4,7.1,55.3,17,2022,Medium,79.3
4.6,80.9,71.5,5,2,7.1,67.6,15,2022,Medium,66.1
11.4,67.8,80.9,3,1,5.6,100.0,17,2022,High,76.6
10.5,76.8,79.9,3,4,7.8,69.0,17,2022,High,76.4
7.9,80.9,32.5,4,3,5.0,43.9,15,2022,Medium,56.3
3.6,78.8,67.8,3,2,7.2,73.9,17,2022,Low,61.8
8.2,98.8,63.8,5,2,9.1,42.3,15,2022,High,71.9
5.4,75.4,49.9,3,3,7.8,59.0,16,2022,Medium,65.7
0.6,67.0,75.4,2,1,7.8,67.4,18,2022,Low,53.6
6.7,67.8,95.5,3,4,5.9,80.7,15,2022,High,75.0
3.9,89.2,25.2,1,5,9.1,96.4,17,2022,Low,44.9
4.0,60.4,59.4,1,2,8.7,90.5,19,2022,Low,37.4
5.4,77.2,48.1,3,3,6.0,56.8,16,2022,Medium,54.9
4.8,98.6,69.1,3,4,6.4,71.3,17,2022,High,72.8
5.9,84.1,62.8,1,2,8.5,79.4,17,2022,Low,62.9
5.8,79.0,58.3,3,5,9.2,73.3,17,2022,Medium,60.4
1.3,79.5,79.0,3,3,5.5,73.2,17,2022,Medium,66.6
9.8,65.6,94.2,3,2,5.8,47.0,17,2022,High,81.5
3.5,68.0,100.0,2,3,6.8,57.3,15,2022,Low,74.1
